,nombres,edades,generos,ciudades,hijos,mascotas
92,persona_92,25,M,Zipaquirá,4,1
93,persona_93,54,F,Zipaquirá,3,1
94,persona_94,32,F,Zipaquirá,4,4
95,persona_95,68,M,Chía,2,3
96,persona_96,67,M,Cajicá,1,2
97,persona_97,52,F,Cajicá,2,3
98,persona_98,50,M,Chía,5,2
99,persona_99,39,M,Chía,1,0
100,persona_100,39,F,Bogotá,3,4
101,persona_101,56,F,Chía,2,4
102,persona_102,41,M,Cajicá,2,3
103,persona_103,48,M,Cajicá,3,4
104,persona_104,57,F,Cota,0,5
105,persona_105,43,M,Chía,2,2
106,persona_106,52,M,Chía,3,0
107,persona_107,54,M,Zipaquirá,0,3
108,persona_108,55,F,Cota,2,2
109,persona_109,25,F,Chía,1,5
110,persona_110,38,M,Bogotá,5,0
111,persona_111,58,F,Cajicá,4,4
112,persona_112,67,F,Bogotá,4,2
113,persona_113,39,M,Cota,1,4
114,persona_114,45,F,Cajicá,1,3
115,persona_115,53,F,Bogotá,4,5
116,persona_116,30,F,Bogotá,5,5
117,persona_117,47,F,Chía,5,4
118,persona_118,65,M,Zipaquirá,3,3
119,persona_119,69,F,Chía,3,5
120,persona_120,26,F,Zipaquirá,2,2
121,persona_121,43,F,Cajicá,0,5
122,persona_122,67,F,Bogotá,1,4
123,persona_123,42,F,Cota,4,5
124,persona_124,44,M,Chía,4,3
125,persona_125,40,M,Chía,4,4
126,persona_126,32,F,Bogotá,1,3
127,persona_127,57,F,Cajicá,1,0
128,persona_128,37,F,Chía,5,5
129,persona_129,28,M,Cota,1,3
130,persona_130,41,F,Cajicá,5,2
131,persona_131,46,F,Cota,2,5
132,persona_132,33,F,Bogotá,0,1
133,persona_133,30,M,Bogotá,0,5
134,persona_134,57,M,Chía,4,2
135,persona_135,45,F,Bogotá,5,1
136,persona_136,35,M,Zipaquirá,2,1
137,persona_137,60,F,Cajicá,2,5
138,persona_138,49,M,Bogotá,0,4
139,persona_139,34,F,Cota,5,2
140,persona_140,48,F,Zipaquirá,3,0
141,persona_141,37,M,Bogotá,2,0
142,persona_142,54,M,Bogotá,5,3
143,persona_143,42,F,Cota,3,3
144,persona_144,59,F,Bogotá,4,4
145,persona_145,64,F,Chía,3,0
146,persona_146,45,M,Chía,1,2
147,persona_147,21,F,Zipaquirá,5,2
148,persona_148,59,F,Zipaquirá,2,2
149,persona_149,36,M,Cajicá,0,2
150,persona_150,38,F,Cajicá,5,0
151,persona_151,61,M,Bogotá,5,2
152,persona_152,51,M,Chía,0,1
153,persona_153,35,F,Bogotá,1,5
154,persona_154,57,F,Cota,2,0
155,persona_155,61,M,Zipaquirá,1,3
156,persona_156,42,F,Cajicá,3,1
157,persona_157,63,M,Bogotá,4,4
158,persona_158,32,M,Bogotá,4,5
159,persona_159,48,M,Bogotá,5,5
160,persona_160,39,M,Zipaquirá,1,3
161,persona_161,60,M,Chía,0,2
162,persona_162,40,F,Zipaquirá,5,4
163,persona_163,67,F,Cajicá,2,4
164,persona_164,59,M,Chía,4,5
165,persona_165,34,M,Cajicá,1,1
166,persona_166,28,F,Chía,1,1
167,persona_167,37,M,Cota,0,2
168,persona_168,68,M,Bogotá,1,2
169,persona_169,44,F,Chía,1,5
170,persona_170,26,M,Cota,3,4
171,persona_171,64,F,Zipaquirá,4,4
172,persona_172,45,F,Bogotá,2,0
173,persona_173,41,F,Cajicá,1,4
174,persona_174,42,F,Zipaquirá,1,2
175,persona_175,24,M,Cota,4,1
176,persona_176,28,M,Bogotá,5,5
177,persona_177,24,M,Bogotá,4,0
178,persona_178,64,F,Chía,0,3
179,persona_179,21,M,Bogotá,2,1
180,persona_180,60,F,Bogotá,1,3
181,persona_181,25,F,Zipaquirá,4,5
182,persona_182,32,M,Cajicá,1,1
183,persona_183,59,M,Bogotá,1,1
184,persona_184,51,F,Chía,3,0
185,persona_185,35,F,Cajicá,0,5
186,persona_186,32,M,Zipaquirá,0,2
187,persona_187,41,M,Bogotá,3,2
188,persona_188,51,F,Zipaquirá,0,2
189,persona_189,43,F,Cajicá,0,4
190,persona_190,63,M,Chía,3,2
191,persona_191,35,M,Zipaquirá,0,1
192,persona_192,25,F,Chía,3,1
193,persona_193,66,M,Zipaquirá,2,5
194,persona_194,61,M,Bogotá,3,3
195,persona_195,70,F,Chía,3,5
196,persona_196,63,F,Bogotá,1,5
197,persona_197,70,M,Chía,2,0
198,persona_198,40,M,Chía,5,2
199,persona_199,58,F,Cota,3,4
200,persona_200,47,F,Bogotá,5,4
201,persona_201,67,F,Cota,5,0
202,persona_202,66,F,Cota,3,1
203,persona_203,61,M,Bogotá,2,5
204,persona_204,65,F,Cota,2,4
205,persona_205,22,F,Cota,3,4
206,persona_206,32,M,Zipaquirá,3,3
207,persona_207,40,F,Bogotá,4,4
208,persona_208,25,F,Zipaquirá,5,5
209,persona_209,42,F,Cota,2,2
210,persona_210,46,F,Zipaquirá,1,4
211,persona_211,24,M,Chía,1,2
212,persona_212,63,F,Zipaquirá,0,3
213,persona_213,53,F,Cajicá,4,4
214,persona_214,49,F,Cajicá,5,5
215,persona_215,60,M,Cota,1,4
216,persona_216,21,M,Zipaquirá,3,0
217,persona_217,68,M,Cajicá,5,2
218,persona_218,23,F,Chía,4,5
219,persona_219,42,F,Chía,3,2
220,persona_220,29,F,Zipaquirá,4,4
221,persona_221,39,F,Cota,5,0
222,persona_222,25,M,Cajicá,0,5
223,persona_223,47,M,Bogotá,2,2
224,persona_224,21,M,Zipaquirá,4,0
225,persona_225,34,F,Zipaquirá,5,1
226,persona_226,31,M,Bogotá,2,4
227,persona_227,21,F,Chía,5,1
228,persona_228,63,F,Cota,5,3
229,persona_229,60,F,Chía,3,0
230,persona_230,46,M,Bogotá,1,0
231,persona_231,64,F,Chía,1,2
232,persona_232,48,F,Zipaquirá,1,4
233,persona_233,54,M,Chía,1,4
234,persona_234,68,F,Cajicá,0,1
235,persona_235,25,M,Chía,2,0
236,persona_236,56,F,Chía,5,5
237,persona_237,44,M,Cota,1,0
238,persona_238,62,F,Zipaquirá,0,0
239,persona_239,20,F,Zipaquirá,4,2
240,persona_240,32,M,Zipaquirá,0,0
241,persona_241,38,F,Bogotá,1,4
242,persona_242,25,M,Chía,1,4
243,persona_243,23,M,Cota,3,3
244,persona_244,33,M,Cajicá,4,3
245,persona_245,22,F,Cota,4,4
246,persona_246,43,F,Cota,5,2
247,persona_247,31,F,Chía,3,2
248,persona_248,31,M,Zipaquirá,1,0
249,persona_249,42,F,Cota,4,4
250,persona_250,54,F,Chía,5,1
251,persona_251,40,F,Chía,5,5
252,persona_252,42,M,Cota,0,1
253,persona_253,51,M,Chía,1,3
254,persona_254,51,F,Cajicá,5,1
255,persona_255,56,M,Cota,1,2
256,persona_256,25,M,Chía,2,0
257,persona_257,44,M,Cota,3,2
258,persona_258,42,F,Cajicá,4,2
259,persona_259,62,M,Bogotá,3,2
260,persona_260,30,F,Cajicá,1,3
261,persona_261,60,F,Zipaquirá,2,5
262,persona_262,23,F,Zipaquirá,0,1
263,persona_263,39,F,Bogotá,4,1
264,persona_264,67,F,Bogotá,5,2
265,persona_265,68,M,Cajicá,1,0
266,persona_266,67,M,Bogotá,3,3
267,persona_267,70,M,Cota,3,3
268,persona_268,50,M,Chía,1,4
269,persona_269,43,M,Cota,5,4
270,persona_270,51,M,Cota,3,3
271,persona_271,48,F,Bogotá,4,0
272,persona_272,37,M,Cajicá,5,5
273,persona_273,49,M,Cota,1,0
274,persona_274,62,F,Cota,5,2
275,persona_275,67,F,Zipaquirá,1,2
276,persona_276,63,F,Bogotá,5,5
277,persona_277,21,F,Zipaquirá,0,5
278,persona_278,44,F,Chía,4,0
279,persona_279,30,F,Cota,1,1
280,persona_280,30,F,Zipaquirá,1,4
281,persona_281,30,F,Cota,1,2
282,persona_282,35,F,Chía,0,5
283,persona_283,68,M,Bogotá,2,1
284,persona_284,33,M,Chía,5,5
285,persona_285,30,M,Bogotá,1,3
286,persona_286,28,F,Bogotá,5,0
287,persona_287,66,M,Cota,1,1
288,persona_288,57,M,Cajicá,1,1
289,persona_289,63,F,Chía,1,3
290,persona_290,27,F,Zipaquirá,0,0
291,persona_291,41,F,Zipaquirá,4,4
292,persona_292,29,F,Bogotá,5,5
293,persona_293,41,M,Cota,3,4
294,persona_294,58,F,Zipaquirá,5,0
295,persona_295,22,F,Cota,3,4
296,persona_296,70,M,Bogotá,4,1
297,persona_297,22,F,Cajicá,4,4
298,persona_298,46,F,Zipaquirá,5,0
299,persona_299,26,F,Bogotá,2,2
300,persona_300,36,F,Cajicá,4,4
301,persona_301,58,F,Bogotá,5,2
302,persona_302,52,M,Cajicá,2,0
303,persona_303,44,M,Bogotá,5,0
304,persona_304,22,M,Zipaquirá,0,1
305,persona_305,40,M,Zipaquirá,1,1
306,persona_306,64,F,Cota,4,4
307,persona_307,33,M,Chía,4,5
308,persona_308,59,F,Cota,1,1
309,persona_309,59,F,Cajicá,5,3
310,persona_310,68,F,Zipaquirá,0,0
311,persona_311,55,M,Cajicá,0,4
312,persona_312,46,F,Cajicá,3,2
313,persona_313,47,F,Bogotá,0,1
314,persona_314,42,M,Bogotá,0,3
315,persona_315,69,F,Zipaquirá,4,1
316,persona_316,34,F,Zipaquirá,5,2
317,persona_317,57,F,Chía,2,1
318,persona_318,21,M,Zipaquirá,2,4
319,persona_319,22,F,Cajicá,0,4
320,persona_320,51,F,Chía,5,2
321,persona_321,27,F,Cota,0,5
322,persona_322,38,M,Chía,0,4
323,persona_323,54,M,Cota,5,1
324,persona_324,52,F,Zipaquirá,4,1
325,persona_325,30,M,Cota,0,5
326,persona_326,40,M,Bogotá,4,5
327,persona_327,52,F,Bogotá,4,3
328,persona_328,48,F,Zipaquirá,1,0
329,persona_329,52,F,Cota,5,2
330,persona_330,53,M,Cajicá,5,5
331,persona_331,21,M,Cajicá,2,2
332,persona_332,32,F,Zipaquirá,4,3
333,persona_333,22,F,Cajicá,3,4
334,persona_334,58,F,Zipaquirá,0,3
335,persona_335,21,M,Cajicá,0,5
336,persona_336,36,M,Chía,0,4
337,persona_337,52,F,Zipaquirá,2,1
338,persona_338,55,M,Cajicá,2,0
339,persona_339,38,F,Cajicá,2,0
340,persona_340,51,M,Cota,2,1
341,persona_341,29,M,Chía,0,5
342,persona_342,30,F,Cota,4,0
343,persona_343,40,F,Cota,5,2
344,persona_344,23,M,Bogotá,4,5
345,persona_345,26,F,Chía,2,3
346,persona_346,39,F,Zipaquirá,4,0
347,persona_347,58,M,Zipaquirá,1,5
348,persona_348,34,F,Chía,5,5
349,persona_349,50,F,Chía,4,3
350,persona_350,35,M,Chía,0,2
351,persona_351,60,M,Cajicá,4,1
352,persona_352,23,M,Bogotá,3,5
353,persona_353,63,F,Chía,2,4
354,persona_354,34,M,Chía,1,0
355,persona_355,58,M,Cajicá,5,5
356,persona_356,41,F,Chía,3,3
357,persona_357,27,M,Cota,5,4
358,persona_358,44,M,Chía,3,1
359,persona_359,46,F,Zipaquirá,3,4
360,persona_360,31,F,Chía,1,4
361,persona_361,39,M,Bogotá,3,5
362,persona_362,44,F,Zipaquirá,5,2
363,persona_363,33,M,Chía,0,2
364,persona_364,63,F,Zipaquirá,5,1
365,persona_365,27,F,Bogotá,2,1
366,persona_366,38,F,Cota,2,4
367,persona_367,23,M,Cota,0,4
368,persona_368,49,M,Chía,2,5
369,persona_369,50,M,Cota,1,4
370,persona_370,70,F,Cota,4,1
371,persona_371,65,F,Zipaquirá,1,2
372,persona_372,64,M,Cota,4,3
373,persona_373,25,M,Cajicá,5,1
374,persona_374,21,M,Cota,5,3
375,persona_375,69,F,Chía,2,1
376,persona_376,27,F,Cota,1,2
377,persona_377,30,F,Chía,0,2
378,persona_378,20,M,Zipaquirá,4,5
379,persona_379,70,F,Cota,5,5
380,persona_380,21,M,Zipaquirá,0,1
381,persona_381,27,F,Bogotá,3,1
382,persona_382,68,M,Bogotá,1,1
383,persona_383,62,M,Cajicá,1,1
384,persona_384,39,F,Chía,2,1
385,persona_385,37,F,Cota,0,0
386,persona_386,37,M,Cota,1,1
387,persona_387,35,F,Cota,3,1
388,persona_388,25,M,Cajicá,1,1
389,persona_389,41,F,Bogotá,4,2
390,persona_390,69,M,Cota,2,5
391,persona_391,24,F,Cajicá,3,1
392,persona_392,41,M,Cajicá,4,5
393,persona_393,54,F,Zipaquirá,4,0
394,persona_394,28,F,Chía,4,5
395,persona_395,22,F,Chía,0,2
396,persona_396,55,M,Cota,5,3
397,persona_397,28,F,Cajicá,3,1
398,persona_398,26,M,Cajicá,2,2
399,persona_399,55,M,Cota,1,5
400,persona_400,34,M,Cota,0,1
401,persona_401,52,M,Chía,1,3
402,persona_402,58,F,Chía,5,3
403,persona_403,20,M,Bogotá,0,3
404,persona_404,39,F,Bogotá,4,0
405,persona_405,47,F,Bogotá,1,1
406,persona_406,44,M,Chía,4,1
407,persona_407,44,F,Cajicá,0,2
408,persona_408,68,M,Zipaquirá,1,5
409,persona_409,56,M,Chía,1,5
410,persona_410,66,M,Zipaquirá,4,1
411,persona_411,43,F,Cota,0,3
412,persona_412,36,F,Bogotá,4,3
413,persona_413,54,F,Cajicá,1,2
414,persona_414,49,M,Cota,0,2
415,persona_415,41,M,Cajicá,3,5
416,persona_416,45,F,Chía,3,0
417,persona_417,43,M,Bogotá,1,0
418,persona_418,62,M,Bogotá,2,0
419,persona_419,49,M,Bogotá,2,2
420,persona_420,44,M,Cota,3,5
421,persona_421,68,M,Bogotá,2,3
422,persona_422,57,F,Bogotá,4,5
423,persona_423,24,F,Zipaquirá,1,4
424,persona_424,46,M,Bogotá,0,3
425,persona_425,64,M,Bogotá,5,0
426,persona_426,32,F,Bogotá,3,5
427,persona_427,25,F,Chía,5,4
428,persona_428,53,M,Cota,3,5
429,persona_429,51,F,Chía,1,4
430,persona_430,26,F,Cajicá,1,1
431,persona_431,31,M,Bogotá,4,3
432,persona_432,46,F,Cota,0,4
433,persona_433,53,F,Cota,3,3
434,persona_434,61,M,Chía,5,3
435,persona_435,70,M,Bogotá,4,1
436,persona_436,42,M,Bogotá,3,3
437,persona_437,31,M,Cota,5,1
438,persona_438,24,M,Bogotá,0,1
439,persona_439,65,M,Bogotá,4,4
440,persona_440,47,F,Zipaquirá,1,3
441,persona_441,53,M,Zipaquirá,1,0
442,persona_442,50,M,Chía,1,5
443,persona_443,50,M,Chía,5,4
444,persona_444,44,M,Cota,2,3
445,persona_445,37,M,Cota,5,4
446,persona_446,70,F,Bogotá,1,1
447,persona_447,22,F,Chía,1,2
448,persona_448,69,F,Cota,3,4
449,persona_449,33,F,Bogotá,0,2
450,persona_450,35,F,Cota,3,3
451,persona_451,70,M,Cajicá,1,5
452,persona_452,45,F,Chía,2,3
453,persona_453,61,F,Bogotá,0,5
454,persona_454,53,M,Zipaquirá,3,2
455,persona_455,29,M,Cajicá,5,4
456,persona_456,20,M,Cajicá,3,1
457,persona_457,63,F,Cajicá,5,5
458,persona_458,30,F,Bogotá,1,2
459,persona_459,43,M,Cota,1,2
460,persona_460,36,M,Cajicá,4,2
461,persona_461,49,F,Zipaquirá,2,3
462,persona_462,34,M,Bogotá,3,3
463,persona_463,69,M,Cajicá,3,2
464,persona_464,45,M,Cota,2,3
465,persona_465,55,M,Chía,4,4
466,persona_466,28,M,Zipaquirá,0,4
467,persona_467,23,F,Cota,5,3
468,persona_468,67,M,Cota,1,3
469,persona_469,59,M,Cota,4,4
470,persona_470,63,M,Cajicá,2,0
471,persona_471,23,M,Cajicá,0,0
472,persona_472,29,M,Bogotá,4,4
473,persona_473,36,M,Cota,3,3
474,persona_474,43,F,Cota,1,3
475,persona_475,29,M,Cota,3,0
476,persona_476,38,M,Zipaquirá,1,2
477,persona_477,24,M,Cajicá,2,3
478,persona_478,38,F,Zipaquirá,5,0
479,persona_479,62,M,Zipaquirá,4,5
480,persona_480,42,M,Cajicá,3,1
481,persona_481,53,F,Cota,0,5
482,persona_482,35,F,Chía,1,2
483,persona_483,64,F,Bogotá,1,0
484,persona_484,34,F,Chía,4,0
485,persona_485,64,M,Zipaquirá,4,1
486,persona_486,69,F,Zipaquirá,1,4
487,persona_487,54,M,Cota,5,0
488,persona_488,55,F,Bogotá,3,1
489,persona_489,40,F,Bogotá,2,5
490,persona_490,57,M,Chía,1,2
491,persona_491,22,M,Bogotá,5,1
492,persona_492,53,F,Cajicá,4,3
493,persona_493,29,M,Zipaquirá,3,1
494,persona_494,44,F,Zipaquirá,0,0
495,persona_495,25,F,Zipaquirá,5,0
496,persona_496,60,F,Zipaquirá,1,2
497,persona_497,56,F,Cajicá,0,5
498,persona_498,56,F,Cota,3,2
499,persona_499,35,F,Cajicá,0,2
500,persona_500,61,M,Cota,4,5
501,persona_501,48,M,Bogotá,5,3
502,persona_502,56,M,Cajicá,3,0
503,persona_503,22,F,Cajicá,5,1
504,persona_504,39,F,Cajicá,0,0
505,persona_505,24,M,Zipaquirá,4,2
506,persona_506,69,M,Zipaquirá,4,4
507,persona_507,50,M,Bogotá,3,0
508,persona_508,23,M,Zipaquirá,5,1
509,persona_509,50,M,Zipaquirá,3,2
510,persona_510,61,M,Cota,4,4
511,persona_511,20,F,Zipaquirá,0,5
512,persona_512,27,M,Bogotá,3,3
513,persona_513,44,F,Cajicá,3,1
514,persona_514,54,F,Cajicá,4,5
515,persona_515,47,M,Cajicá,0,3
516,persona_516,27,M,Cajicá,0,2
517,persona_517,41,M,Zipaquirá,5,3
518,persona_518,33,F,Zipaquirá,2,5
519,persona_519,64,F,Bogotá,0,0
520,persona_520,55,F,Zipaquirá,0,2
521,persona_521,49,F,Zipaquirá,2,5
522,persona_522,40,M,Cota,3,5
523,persona_523,60,M,Cajicá,1,4
524,persona_524,54,M,Cajicá,1,4
525,persona_525,25,M,Chía,3,4
526,persona_526,42,M,Bogotá,1,1
527,persona_527,70,M,Cota,5,1
528,persona_528,66,M,Chía,5,4
529,persona_529,41,F,Cota,1,3
530,persona_530,62,F,Bogotá,3,5
531,persona_531,23,M,Cota,3,1
532,persona_532,54,F,Zipaquirá,1,2
533,persona_533,44,M,Chía,1,3
534,persona_534,53,F,Bogotá,3,1
535,persona_535,53,M,Zipaquirá,0,1
536,persona_536,20,M,Cajicá,3,1
537,persona_537,22,M,Zipaquirá,2,3
538,persona_538,37,M,Cota,1,0
539,persona_539,44,M,Bogotá,1,0
540,persona_540,45,M,Cajicá,1,4
541,persona_541,38,F,Cota,1,2
542,persona_542,30,F,Cota,0,2
543,persona_543,22,F,Bogotá,5,1
544,persona_544,42,F,Cota,1,3
545,persona_545,53,M,Bogotá,1,0
546,persona_546,37,F,Cota,1,2
547,persona_547,70,F,Cajicá,3,5
548,persona_548,48,M,Cota,1,4
549,persona_549,66,F,Cajicá,1,4
550,persona_550,64,M,Zipaquirá,2,2
551,persona_551,33,F,Bogotá,5,0
552,persona_552,44,M,Cota,4,3
553,persona_553,33,F,Cajicá,4,4
554,persona_554,25,M,Cajicá,0,4
555,persona_555,25,F,Cota,1,3
556,persona_556,30,M,Chía,3,0
557,persona_557,49,M,Cota,5,4
558,persona_558,56,F,Cota,3,1
559,persona_559,20,M,Chía,4,2
560,persona_560,62,F,Zipaquirá,1,1
561,persona_561,47,M,Cajicá,2,1
562,persona_562,58,F,Bogotá,3,1
563,persona_563,45,F,Bogotá,0,1
564,persona_564,64,M,Cota,0,1
565,persona_565,61,M,Cajicá,2,0
566,persona_566,47,M,Zipaquirá,1,5
567,persona_567,50,F,Bogotá,3,4
568,persona_568,35,M,Zipaquirá,5,3
569,persona_569,68,M,Cajicá,5,1
570,persona_570,47,M,Chía,0,1
571,persona_571,27,F,Chía,5,5
572,persona_572,29,M,Bogotá,0,5
573,persona_573,53,M,Cajicá,5,3
574,persona_574,37,F,Bogotá,5,1
575,persona_575,57,F,Chía,4,2
576,persona_576,22,M,Chía,2,4
577,persona_577,64,F,Zipaquirá,2,0
578,persona_578,66,F,Cajicá,4,3
579,persona_579,53,F,Chía,4,4
580,persona_580,62,M,Cajicá,3,2
581,persona_581,51,M,Cota,1,5
582,persona_582,68,M,Cajicá,2,3
583,persona_583,64,M,Cajicá,3,2
584,persona_584,25,M,Bogotá,1,1
585,persona_585,21,F,Cota,1,2
586,persona_586,53,F,Cajicá,4,5
587,persona_587,20,F,Cajicá,4,0
588,persona_588,36,M,Cajicá,2,2
589,persona_589,57,M,Cajicá,5,2
590,persona_590,34,M,Bogotá,4,2
591,persona_591,67,F,Cajicá,5,1
592,persona_592,51,M,Cajicá,5,1
593,persona_593,52,F,Cajicá,0,1
594,persona_594,33,M,Bogotá,1,0
595,persona_595,56,M,Cota,5,5
596,persona_596,54,M,Bogotá,1,0
597,persona_597,68,F,Cota,4,0
598,persona_598,63,F,Zipaquirá,4,2
599,persona_599,37,F,Cota,3,1
600,persona_600,69,M,Cajicá,3,1
601,persona_601,20,F,Cota,5,4
602,persona_602,23,M,Bogotá,1,5
603,persona_603,65,F,Zipaquirá,4,0
604,persona_604,34,F,Chía,1,5
605,persona_605,46,M,Bogotá,5,1
606,persona_606,33,F,Cota,4,2
607,persona_607,52,M,Bogotá,1,1
608,persona_608,40,F,Bogotá,2,0
609,persona_609,61,F,Cota,2,5
610,persona_610,52,M,Zipaquirá,0,3
611,persona_611,42,F,Bogotá,5,3
612,persona_612,30,F,Chía,3,4
613,persona_613,37,F,Zipaquirá,0,3
614,persona_614,39,F,Cota,0,3
615,persona_615,33,M,Zipaquirá,1,1
616,persona_616,60,F,Bogotá,1,1
617,persona_617,61,M,Cota,0,3
618,persona_618,29,F,Cajicá,4,0
619,persona_619,50,F,Bogotá,0,1
620,persona_620,36,F,Cota,1,5
621,persona_621,69,M,Chía,2,3
622,persona_622,26,F,Cota,2,0
623,persona_623,66,F,Cajicá,3,0
624,persona_624,26,M,Cota,3,1
625,persona_625,20,F,Zipaquirá,3,4
626,persona_626,24,F,Cajicá,3,3
627,persona_627,30,F,Cota,3,2
628,persona_628,53,M,Zipaquirá,4,3
629,persona_629,62,M,Chía,2,4
630,persona_630,59,M,Zipaquirá,1,3
631,persona_631,65,M,Cajicá,3,3
632,persona_632,59,M,Cajicá,0,0
633,persona_633,54,F,Cota,2,2
634,persona_634,28,F,Cajicá,3,3
635,persona_635,55,M,Chía,1,4
636,persona_636,42,F,Bogotá,0,2
637,persona_637,57,F,Cajicá,3,4
638,persona_638,28,F,Zipaquirá,4,5
639,persona_639,59,F,Bogotá,5,3
640,persona_640,54,F,Cota,0,0
641,persona_641,36,M,Cota,0,1
642,persona_642,36,M,Cota,4,1
643,persona_643,34,M,Cota,0,2
644,persona_644,47,F,Cota,4,4
645,persona_645,70,F,Bogotá,1,5
646,persona_646,54,F,Bogotá,4,5
647,persona_647,33,F,Zipaquirá,4,0
648,persona_648,36,F,Cota,3,0
649,persona_649,39,M,Chía,2,1
650,persona_650,62,F,Cota,2,5
651,persona_651,53,M,Cajicá,4,4
652,persona_652,41,F,Bogotá,1,0
653,persona_653,45,F,Bogotá,5,0
654,persona_654,24,F,Bogotá,1,2
655,persona_655,44,F,Bogotá,2,4
656,persona_656,58,F,Bogotá,1,4
657,persona_657,38,F,Cota,0,0
658,persona_658,59,M,Bogotá,0,1
659,persona_659,27,M,Zipaquirá,3,2
660,persona_660,58,M,Cajicá,1,3
661,persona_661,39,F,Cajicá,1,4
662,persona_662,56,M,Cota,2,0
663,persona_663,69,M,Cota,2,2
664,persona_664,62,F,Zipaquirá,1,0
665,persona_665,33,F,Bogotá,1,4
666,persona_666,29,F,Cota,3,0
667,persona_667,60,F,Cota,0,5
668,persona_668,66,F,Bogotá,5,0
669,persona_669,44,M,Chía,4,4
670,persona_670,65,F,Chía,1,5
671,persona_671,34,M,Cajicá,5,0
672,persona_672,29,M,Chía,3,5
673,persona_673,55,M,Zipaquirá,1,2
674,persona_674,57,M,Chía,4,3
675,persona_675,25,F,Cajicá,1,1
676,persona_676,46,F,Chía,5,5
677,persona_677,68,F,Chía,4,0
